产品编号,图片序号,图片类型,CDN_URL,文件名,是否主图,品牌标签,检测方法,置信度,处理时间
802419 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_4.jpg,802419%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802419 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_5.jpg,802419%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802419 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_6.jpg,802419%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802419 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_7.jpg,802419%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802419 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_8.jpg,802419%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802419 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_9.jpg,802419%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802419 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_10.jpg,802419%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802419 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_11.jpg,802419%20RENE%20WS04SH_11.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802419 RENE WS04SH,9,附图8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_2.jpg,802419%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802419 RENE WS04SH,10,附图9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_3.jpg,802419%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802551 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_4.jpg,802551%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802551 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_5.jpg,802551%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802551 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_6.jpg,802551%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802551 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_7.jpg,802551%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802551 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_8.jpg,802551%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802551 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_9.jpg,802551%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802551 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_2.jpg,802551%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802551 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_3.jpg,802551%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_4.jpg,802554%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_5.jpg,802554%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_6.jpg,802554%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_7.jpg,802554%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_8.jpg,802554%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_9.jpg,802554%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_10.jpg,802554%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_11.jpg,802554%20RENE%20WS04SH_11.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,9,附图8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_12.jpg,802554%20RENE%20WS04SH_12.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,10,附图9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_13.jpg,802554%20RENE%20WS04SH_13.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,11,附图10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_14.jpg,802554%20RENE%20WS04SH_14.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,12,附图11,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_15.jpg,802554%20RENE%20WS04SH_15.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,13,附图12,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_16.jpg,802554%20RENE%20WS04SH_16.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,14,附图13,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_17.jpg,802554%20RENE%20WS04SH_17.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,15,附图14,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_18.jpg,802554%20RENE%20WS04SH_18.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,16,附图15,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_19.jpg,802554%20RENE%20WS04SH_19.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,17,附图16,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_20.jpg,802554%20RENE%20WS04SH_20.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,18,附图17,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_21.jpg,802554%20RENE%20WS04SH_21.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,19,附图18,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_22.jpg,802554%20RENE%20WS04SH_22.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,20,附图19,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_23.jpg,802554%20RENE%20WS04SH_23.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,21,附图20,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_24.jpg,802554%20RENE%20WS04SH_24.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,22,附图21,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_25.jpg,802554%20RENE%20WS04SH_25.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,23,附图22,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_26.jpg,802554%20RENE%20WS04SH_26.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,24,附图23,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_27.jpg,802554%20RENE%20WS04SH_27.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,25,附图24,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_28.jpg,802554%20RENE%20WS04SH_28.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,26,附图25,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_2.jpg,802554%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802554 RENE WS04SH,27,附图26,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_3.jpg,802554%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802555 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_4.jpg,802555%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802555 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_5.jpg,802555%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802555 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_6.jpg,802555%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802555 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_7.jpg,802555%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802555 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_8.jpg,802555%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802555 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_9.jpg,802555%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802555 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_10.jpg,802555%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802555 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_2.jpg,802555%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802555 RENE WS04SH,9,附图8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_3.jpg,802555%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_4.jpg,802556%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_5.jpg,802556%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_6.jpg,802556%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_7.jpg,802556%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_8.jpg,802556%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_9.jpg,802556%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_10.jpg,802556%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_11.jpg,802556%20RENE%20WS04SH_11.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,9,附图8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_12.jpg,802556%20RENE%20WS04SH_12.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,10,附图9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_13.jpg,802556%20RENE%20WS04SH_13.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,11,附图10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_2.jpg,802556%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802556 RENE WS04SH,12,附图11,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_3.jpg,802556%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802557 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_4.jpg,802557%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802557 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_5.jpg,802557%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802557 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_6.jpg,802557%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802557 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_7.jpg,802557%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802557 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_8.jpg,802557%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802557 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_9.jpg,802557%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802557 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_10.jpg,802557%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802557 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_2.jpg,802557%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802557 RENE WS04SH,9,附图8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_3.jpg,802557%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,1,主图,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_4.jpg,802558%20RENE%20WS04SH_4.jpg,是,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,2,附图1,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_5.jpg,802558%20RENE%20WS04SH_5.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,3,附图2,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_6.jpg,802558%20RENE%20WS04SH_6.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,4,附图3,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_7.jpg,802558%20RENE%20WS04SH_7.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,5,附图4,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_8.jpg,802558%20RENE%20WS04SH_8.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,6,附图5,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_9.jpg,802558%20RENE%20WS04SH_9.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,7,附图6,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_10.jpg,802558%20RENE%20WS04SH_10.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,8,附图7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_11.jpg,802558%20RENE%20WS04SH_11.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,9,附图8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_2.jpg,802558%20RENE%20WS04SH_2.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
802558 RENE WS04SH,10,附图9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_3.jpg,802558%20RENE%20WS04SH_3.jpg,否,是,pattern_and_analysis,90.0%,2025-09-06 19:14:38
