产品编号,图片数量,主图URL,展示图片URLs,所有图片URLs,品牌标签,检测方法,置信度,主图优化,处理时间,文件夹名称
802419 RENE WS04SH,10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802419%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802551 RENE WS04SH,8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802551%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802554 RENE WS04SH,27,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_13.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_14.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_15.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_16.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_17.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_18.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_19.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_20.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_21.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_22.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_23.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_24.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_25.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_26.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_27.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_28.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_13.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_14.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_15.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_16.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_17.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_18.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_19.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_20.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_21.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_22.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_23.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_24.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_25.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_26.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_27.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_28.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802554%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802555 RENE WS04SH,9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802555%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802556 RENE WS04SH,12,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_13.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_13.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802556%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802557 RENE WS04SH,9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802557%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802558 RENE WS04SH,10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802558%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802559 RENE WS04SH,10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802559%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802561 RENE WS04SH,11,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802561%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
