产品编号,图片数量,主图URL,展示图片URLs,所有图片URLs,品牌标签,检测方法,置信度,主图优化,处理时间,文件夹名称
802562 RENE WS04SH,10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802562%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802563 RENE WS04SH,9,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802563%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802564 RENE WS04SH,7,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802564%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802565 RENE WS04SH,10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802565%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802566 RENE WS04SH,14,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_13.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_14.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_15.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_13.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_14.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_15.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802566%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802567 RENE WS04SH,11,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802567%20RENE%20WS04SH_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802947 RENE WS04SE,12,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_13.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_12.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_13.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802947%20RENE%20WS04SE_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
802948 RENE WS04SE,8,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/802948%20RENE%20WS04SE_3.jpg,是,pattern_based,70.0%,否,2025-09-06 19:14:38,products
803409 RENE WS05ER,10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803409%20RENE%20WS05ER_3.jpg,是,pattern_based,70.0%,否,2025-09-06 19:14:38,products
803410 RENE WS05ER,10,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_4.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_3.jpg,https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_4.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_5.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_6.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_7.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_8.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_9.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_10.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_11.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_2.jpg | https://trivesa.ams3.cdn.digitaloceanspaces.com/products/products/803410%20RENE%20WS05ER_3.jpg,是,pattern_and_analysis,90.0%,否,2025-09-06 19:14:38,products
